Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Human immunodeficiency virus 1		strain: GR84	11676	ASM309829v1	GCA_003098295.1	GenBank	Annotation submitted by Department of Hygiene and Epidemiology, National Retrovirus Reference Center	Complete Genome	9699	9699	1999-06-15	9		
Human immunodeficiency virus 1		strain: GR11	11676	ASM309831v1	GCA_003098315.1	GenBank	Annotation submitted by Department of Hygiene and Epidemiology, National Retrovirus Reference Center	Complete Genome	9548	9548	1999-06-15	9		
Human immunodeficiency virus 1		strain: GR17	11676	ASM309835v1	GCA_003098355.1	GenBank	Annotation submitted by Hygiene and Epidemiology, Athens University Medical School	Complete Genome	8935	8935	2000-07-01	8		
Human immunodeficiency virus 1		isolate: VI991	11676	ASM309837v1	GCA_003098375.1	GenBank	Annotation submitted by Infectious Disease Epidemiology, HIV Laboratory, National Public Health Institute	Complete Genome	9056	9056	1999-12-16	9		
Human immunodeficiency virus 1		isolate: VI997	11676	ASM309839v1	GCA_003098395.1	GenBank	Annotation submitted by Infectious Disease Epidemiology, HIV Laboratory, National Public Health Institute	Complete Genome	8955	8955	1999-12-16	9		
Human immunodeficiency virus 1		isolate: VI1310	11676	ASM309841v1	GCA_003098415.1	GenBank	Annotation submitted by Department of Infectious Disease Epidemiology, HIV Laboratory, National Public Health Institute	Complete Genome	9083	9083	2000-01-01	9		
HIV-1 CRF03_AB		isolate: KAL153	540995	ASM309843v1	GCA_003098435.1	GenBank	Annotation submitted by Department of Infectious Disease Epidemiology, National Public Health Institute	Complete Genome	8808	8808	2000-01-01	9		
Human immunodeficiency virus 1		isolate: RU98001	11676	ASM309845v1	GCA_003098455.1	GenBank	Annotation submitted by Department of Infectious Disease Epidemiology, National Public Health Institute	Complete Genome	8961	8961	2000-01-01	9		
Human immunodeficiency virus 1		isolate: 90CF11697	11676	ASM309847v1	GCA_003098475.1	GenBank	Annotation submitted by Department of Molecular Biotechnology, University of Washington	Complete Genome	9628	9628	2000-01-12	9		
Human immunodeficiency virus 1		isolate: 90CF4071	11676	ASM309849v1	GCA_003098495.1	GenBank	Annotation submitted by Department of Molecular Biotechnology, University of Washington	Complete Genome	9597	9597	2000-01-12	9		
Human immunodeficiency virus 1		strain: 97CN001	11676	ASM309853v1	GCA_003098535.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Complete Genome	8978	8978	2001-04-10	9		
Human immunodeficiency virus 1		strain: 98CN006	11676	ASM309855v1	GCA_003098555.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Complete Genome	9013	9013	2001-04-10	9		
Human immunodeficiency virus 1		strain: 98CN009	11676	ASM309857v1	GCA_003098575.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Complete Genome	8978	8978	2001-04-10	9		
Human immunodeficiency virus 1		isolate: 83CD003	11676	ASM309859v1	GCA_003098595.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Complete Genome	9060	9060	2001-06-23	9		
Human immunodeficiency virus 1		isolate: 94CY017.41	11676	ASM309861v1	GCA_003098615.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Complete Genome	9060	9060	2001-06-23	9		
Human immunodeficiency virus 1		isolate: 97CDKTB48	11676	ASM309863v1	GCA_003098635.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Complete Genome	8972	8972	2001-06-23	9		
Human immunodeficiency virus 1		isolate: 97KR004	11676	ASM309865v1	GCA_003098655.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Complete Genome	9064	9064	2001-06-23	9		
Human immunodeficiency virus 1			11676	ASM309867v1	GCA_003098675.1	GenBank	Annotation submitted by Immunology and Infectious Diseases, Harvard AIDS Institute and Harvard School of Public Health	Complete Genome	8976	8976	2001-04-04	8		
Human immunodeficiency virus 1			11676	ASM309869v1	GCA_003098695.1	GenBank	Annotation submitted by Immunology and Infectious Diseases, Harvard AIDS Institute and Harvard School of Public Health	Complete Genome	9023	9023	2001-04-04	8		
Human immunodeficiency virus 1			11676	ASM309871v1	GCA_003098715.1	GenBank	Annotation submitted by Immunology and Infectious Diseases, Harvard AIDS Institute and Harvard School of Public Health	Complete Genome	8992	8992	2001-04-04	8		
Human immunodeficiency virus 1		isolate: CM53657	11676	ASM309877v1	GCA_003098775.1	GenBank	Annotation submitted by Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8782	8782	2001-06-05	8		
Human immunodeficiency virus 1		isolate: CM53392	11676	ASM309879v1	GCA_003098795.1	GenBank	Annotation submitted by Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8896	8896	2001-06-05	8		
Human immunodeficiency virus 1		isolate: CM53379	11676	ASM309881v1	GCA_003098815.1	GenBank	Annotation submitted by Military HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8828	8828	2001-06-05	6		
Human immunodeficiency virus 1		isolate: URTR23	11676	ASM309883v1	GCA_003098835.1	GenBank	Annotation submitted by Global Molecular Epidemiology of HIV-1, Henry M. Jackson Foundation	Complete Genome	9770	9770	2001-07-01	9		
Human immunodeficiency virus 1		isolate: URTR35	11676	ASM309885v1	GCA_003098855.1	GenBank	Annotation submitted by Global Molecular Epidemiology of HIV-1, Henry M. Jackson Foundation	Complete Genome	9762	9762	2001-07-01	9		
Human immunodeficiency virus 1		isolate: ARMA159	11676	ASM309887v1	GCA_003098875.1	GenBank	Annotation submitted by Global Molecular Epidemiology of HIV-1, Henry M. Jackson Foundation	Complete Genome	9704	9704	2001-07-01	9		
Human immunodeficiency virus 1		isolate: A32879	11676	ASM309889v1	GCA_003098895.1	GenBank	Annotation submitted by Area de Patogenia Viral, Instituto de Salud Carlos III	Complete Genome	9192	9192	2001-09-27	9		
Human immunodeficiency virus 1		isolate: A32989	11676	ASM309891v1	GCA_003098915.1	GenBank	Annotation submitted by Area de Patogenia Viral, Instituto de Salud Carlos III	Complete Genome	9174	9174	2001-09-27	9		
Human immunodeficiency virus 1		isolate: 98BY10443	11676	ASM309893v1	GCA_003098935.1	GenBank	Annotation submitted by Department of Molecular Virology, Research Institute of Pure Biochemicals	Complete Genome	9687	9687	2002-02-18	1		
Human immunodeficiency virus 1		isolate: X397	11676	ASM309895v1	GCA_003098955.1	GenBank	Annotation submitted by Viral Pathogenesis, Instituto de Salud Carlos III	Complete Genome	8997	8997	2001-12-18	9		
Human immunodeficiency virus 1		isolate: X421	11676	ASM309897v1	GCA_003098975.1	GenBank	Annotation submitted by Viral Pathogenesis, Instituto de Salud Carlos III	Complete Genome	8980	8980	2001-12-18	9		
Human immunodeficiency virus 1		isolate: X475	11676	ASM309899v1	GCA_003098995.1	GenBank	Annotation submitted by Viral Pathogenesis, Instituto de Salud Carlos III	Complete Genome	8945	8945	2001-12-18	9		
Human immunodeficiency virus 1		isolate: X477	11676	ASM309901v1	GCA_003099015.1	GenBank	Annotation submitted by Viral Pathogenesis, Instituto de Salud Carlos III	Complete Genome	8901	8901	2001-12-18	9		
Human immunodeficiency virus 1		isolate: 00BW1471.27	11676	ASM309903v1	GCA_003099035.1	GenBank	Annotation submitted by Immunology and Infectious Diseases, Harvard School of Public Health	Complete Genome	9082	9082	2001-11-22	9		
Human immunodeficiency virus 1		isolate: X605	11676	ASM309907v1	GCA_003099075.1	GenBank	Annotation submitted by Viral Pathogenesis, Instituto de Salud Carlos III	Complete Genome	8989	8989	2001-12-16	9		
Human immunodeficiency virus 1		isolate: X623	11676	ASM309909v1	GCA_003099095.1	GenBank	Annotation submitted by Viral Pathogenesis, Instituto de Salud Carlos III	Complete Genome	8983	8983	2001-12-16	9		
Human immunodeficiency virus 1		isolate: 99KE_KER2003	11676	ASM309911v1	GCA_003099115.1	GenBank	Annotation submitted by Global Molecular Epidemiology, US Military HIV Research Program - Walter Reed Army Institute of Research	Complete Genome	8816	8816	2002-09-01	9		
Human immunodeficiency virus 1		isolate: 00KE_KISII5009	11676	ASM309913v1	GCA_003099135.1	GenBank	Annotation submitted by Global Molecular Epidemiology, US Military HIV Research Program - Walter Reed Army Institute of Research	Complete Genome	8806	8806	2002-09-01	4		
Human immunodeficiency virus 1		isolate: 99KE_KSM4001	11676	ASM309915v1	GCA_003099155.1	GenBank	Annotation submitted by Global Molecular Epidemiology, US Military HIV Research Program - Walter Reed Army Institute of Research	Complete Genome	8790	8790	2002-09-01	9		
Human immunodeficiency virus 1		isolate: 90CD121E12	11676	ASM309917v1	GCA_003099175.1	GenBank	Annotation submitted by Henry M. Jackson Foundation/US Military HIV Research Program	Complete Genome	8784	8784	2001-12-27	9		
Human immunodeficiency virus 1		isolate: 96CM-1849	11676	ASM309919v1	GCA_003099195.1	GenBank	Annotation submitted by Virology, Swedish Institute for Infectious Disease Control	Complete Genome	8916	8916	2002-08-28	9		
Human immunodeficiency virus 1		isolate: 96CM-4164	11676	ASM309921v1	GCA_003099215.1	GenBank	Annotation submitted by Virology, Swedish Institute for Infectious Disease Control	Complete Genome	8854	8854	2002-08-28	9		
Human immunodeficiency virus 1		isolate: 98UG57136	11676	ASM309923v1	GCA_003099235.1	GenBank	Annotation submitted by Walter Reed Army Institute of Research	Complete Genome	8807	8807	2002-11-22	9		
Human immunodeficiency virus 1		isolate: 96CM-4496	11676	ASM309925v1	GCA_003099255.1	GenBank	Annotation submitted by Virology, Swedish Institute for Infectious Disease Control	Complete Genome	8819	8819	2002-08-28	9		
Human immunodeficiency virus 1		isolate: 95CM-1816	11676	ASM309927v1	GCA_003099275.1	GenBank	Annotation submitted by Virology, Swedish Institute for Infectious Disease Control	Complete Genome	9017	9017	2002-08-28	9		
Human immunodeficiency virus 1		strain: CNGL179	11676	ASM309929v1	GCA_003099295.1	GenBank	Annotation submitted by Global Molecular Epidemiology, Henry M. Jackson Foundation	Complete Genome	8957	8957	2003-05-01	8		
Human immunodeficiency virus 1		isolate: CRF01_AE/B	11676	ASM309931v1	GCA_003099315.1	GenBank	Annotation submitted by Microbiology, Armed Forces Research Institute of Medical Science	Complete Genome	8999	8999	2002-09-19	9		
Human immunodeficiency virus 1		isolate: 02TH.OUR1331	11676	ASM309933v1	GCA_003099335.1	GenBank	Annotation submitted by HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8842	8842	2003-07-29	9		
Human immunodeficiency virus 1		isolate: 02TH.OUR1332	11676	ASM309935v1	GCA_003099355.1	GenBank	Annotation submitted by HIV Research Program, Henry M. Jackson Foundation	Complete Genome	8867	8867	2003-07-29	9		
Human immunodeficiency virus 1		isolate: 99TH.R2399	11676	ASM309937v1	GCA_003099375.1	GenBank	Annotation submitted by HIV Research Program, Henry M. Jackson Foundation	Complete Genome	9017	9017	2003-07-29	9		
Human immunodeficiency virus 1		isolate: 97CNGX-6F	11676	ASM309939v1	GCA_003099395.1	GenBank	Annotation submitted by Molecular Microbiology and Immunology, Johns Hopkins University School of Hygiene and Public Health	Complete Genome	8802	8802	2000-12-14	9		
Human immunodeficiency virus 1		isolate: 97CNGX-7F	11676	ASM309941v1	GCA_003099415.1	GenBank	Annotation submitted by Molecular Microbiology and Immunology, Johns Hopkins University School of Hygiene and Public Health	Complete Genome	8796	8796	2000-12-14	9		
Human immunodeficiency virus 1		isolate: 97CNGX-9F	11676	ASM309943v1	GCA_003099435.1	GenBank	Annotation submitted by Molecular Microbiology and Immunology, Johns Hopkins University School of Hygiene and Public Health	Complete Genome	8784	8784	2000-12-14	9		
Human immunodeficiency virus 1		isolate: ARMA185	11676	ASM309945v1	GCA_003099455.1	GenBank	Annotation submitted by Global Molecular Epidemiology, Henry M Jackson Foundation	Complete Genome	8760	8760	2001-10-14	3		
Human immunodeficiency virus 1		isolate: ARMA038	11676	ASM309947v1	GCA_003099475.1	GenBank	Annotation submitted by Global Molecular Epidemiology, Henry M Jackson Foundation	Complete Genome	8808	8808	2001-10-14	9		
Human immunodeficiency virus 1			11676	ASM309949v1	GCA_003099495.1	GenBank	Annotation submitted by Hygiene and Epidemiology, University of Athens, Medical School	Complete Genome	8909	8909	2001-12-05	9		
Human immunodeficiency virus 1		isolate: 95SN1795	11676	ASM309951v1	GCA_003099515.1	GenBank	Annotation submitted by Global Molecular Epidemiology, Henry M. Jackson Foundation	Complete Genome	8803	8803	2003-03-31	9		
Human immunodeficiency virus 1		isolate: 95SN7808	11676	ASM309953v1	GCA_003099535.1	GenBank	Annotation submitted by Global Molecular Epidemiology, Henry M. Jackson Foundation	Complete Genome	8777	8777	2003-03-31	9		
Human immunodeficiency virus 1		isolate: 96GH2911	11676	ASM309955v1	GCA_003099555.1	GenBank	Annotation submitted by Global Molecular Epidemiology, Henry M. Jackson Foundation	Complete Genome	9039	9039	2003-03-31	8		
Human immunodeficiency virus 1		isolate: 99DE4057	11676	ASM309957v1	GCA_003099575.1	GenBank	Annotation submitted by Global Molecular Epidemiology, Henry M. Jackson Foundation	Complete Genome	8389	8389	2003-03-31	9		
Human immunodeficiency virus 1		isolate: 98CMU2901	11676	ASM309959v1	GCA_003099595.1	GenBank	Annotation submitted by Dept 09NG, AIDS Research and Retrovirus Discovery, Abbott Laboratories	Complete Genome	9110	9110	2003-10-23	9		
Human immunodeficiency virus 1		isolate: BK132	11676	ASM309961v1	GCA_003099615.1	GenBank	Annotation submitted by Henry M. Jackson Foundation	Complete Genome	8996	8996	2003-03-18	9		
Human immunodeficiency virus 1		isolate: 01TZA280	11676	ASM309963v1	GCA_003099635.1	GenBank	Annotation submitted by Threat Assessment, Walter Reed Army Institute of Research, Division of Retrovirology	Complete Genome	8775	8775	2003-10-15	9		
Human immunodeficiency virus 1			11676	ASM309965v1	GCA_003099655.1	GenBank	Annotation submitted by Institute of Virology	Complete Genome	9774	9774	2003-08-01	9		
Human immunodeficiency virus 1		isolate: 1058-11	11676	ASM309967v1	GCA_003099675.1	GenBank	Annotation submitted by Medicine, University of California, San Francisco (UCSF)	Complete Genome	8834	8834	2003-10-15	9		
Human immunodeficiency virus 1		isolate: 01CM.0186ND	11676	ASM309969v1	GCA_003099695.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8409	8409	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 01CM.4041HAN	11676	ASM309971v1	GCA_003099715.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8414	8414	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 02CM.2190SA	11676	ASM309973v1	GCA_003099735.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8384	8384	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 02CM.1710LE	11676	ASM309975v1	GCA_003099755.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8394	8394	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 02CM.4118STN	11676	ASM309977v1	GCA_003099775.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8396	8396	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 02CM.3226MN	11676	ASM309979v1	GCA_003099795.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8448	8448	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 01CM.4412HAL	11676	ASM309981v1	GCA_003099815.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8379	8379	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 02CM.0016BBY	11676	ASM309983v1	GCA_003099835.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8349	8349	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 01CM.0001BBY	11676	ASM309985v1	GCA_003099855.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8372	8372	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 02CM.1918LE	11676	ASM309987v1	GCA_003099875.1	GenBank	Annotation submitted by US Military HIV Research Program, Henry M Jackson Foundation	Complete Genome	8425	8425	2003-11-24	9		
Human immunodeficiency virus 1		isolate: 671-00T36	11676	ASM309989v1	GCA_003099895.1	GenBank		Complete Genome	9359	9359	2003-10-20			
Human immunodeficiency virus 1		isolate: 99UFRJ-1	11676	ASM309991v1	GCA_003099915.1	GenBank	Annotation submitted by Centro Nacional de Microbiologia, Instituto de Salud Carlos III	Complete Genome	8767	8767	2004-03-11	9		
Human immunodeficiency virus 1		isolate: 03RU20-06-13	11676	ASM309993v1	GCA_003099935.1	GenBank	Annotation submitted by Advanced Medical Researches	Complete Genome	9159	9159	2004-01-28	9		
Human immunodeficiency virus 1		isolate: DDI579	11676	ASM309995v1	GCA_003099955.1	GenBank	Annotation submitted by Immunology and Infectious Diseases, Harvard School of Public Health	Complete Genome	8801	8801	2004-05-03	8		
Human immunodeficiency virus 1		isolate: DDJ360	11676	ASM309999v1	GCA_003099995.1	GenBank	Annotation submitted by Immunology and Infectious Diseases, Harvard School of Public Health	Complete Genome	8777	8777	2004-05-03	8		
Human immunodeficiency virus 1		isolate: DDJ369	11676	ASM310001v1	GCA_003100015.1	GenBank	Annotation submitted by Immunology and Infectious Diseases, Harvard School of Public Health	Complete Genome	8861	8861	2004-05-03	7		
Human immunodeficiency virus 1		isolate: 02CM-DJO0131	11676	ASM310003v1	GCA_003100035.1	GenBank	Annotation submitted by D-09NG, Abbott Laboratories	Complete Genome	8938	8938	2004-05-05	9		
Human immunodeficiency virus 1		isolate: EE0359	11676	ASM310005v1	GCA_003100055.1	GenBank	Annotation submitted by FIT Biotech OYj Plc Eesti Filiaal	Complete Genome	9262	9262	2004-04-06	9		
Human immunodeficiency virus 1		isolate: EE0369	11676	ASM310007v1	GCA_003100075.1	GenBank	Annotation submitted by FIT Biotech OYj Plc Eesti Filiaal	Complete Genome	9229	9229	2004-04-06	9		
Human immunodeficiency virus 1		isolate: CH12	11676	ASM310009v1	GCA_003100095.1	GenBank	Annotation submitted by Instituto de Salud Carlos III, Centro Nacional de Microbiologia	Complete Genome	8970	8970	2004-05-11	9		
Human immunodeficiency virus 1		isolate: CU76	11676	ASM310011v1	GCA_003100115.1	GenBank	Annotation submitted by Viral Pathogenesis, CNM Instituto de Salud Carlos III	Complete Genome	8945	8945	2004-09-09	9		
Human immunodeficiency virus 1		isolate: CU14	11676	ASM310013v1	GCA_003100135.1	GenBank	Annotation submitted by Viral Pathogenesis, CNM Instituto de Salud Carlos III	Complete Genome	8866	8866	2004-09-09	9		
Human immunodeficiency virus 1		isolate: R77	11676	ASM310015v1	GCA_003100155.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto De Salud Carlos Iii	Complete Genome	9071	9071	2008-01-02	9		
Human immunodeficiency virus 1		isolate: Cu103	11676	ASM310017v1	GCA_003100175.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto De Salud Carlos Iii	Complete Genome	8935	8935	2008-01-02	9		
Human immunodeficiency virus 1		isolate: CU38	11676	ASM310019v1	GCA_003100195.1	GenBank		Complete Genome	8693	8693	2004-09-22			
Human immunodeficiency virus 1		isolate: CU29	11676	ASM310021v1	GCA_003100215.1	GenBank		Complete Genome	9098	9098	2004-09-22			
Human immunodeficiency virus 1		isolate: PT2695	11676	ASM310023v1	GCA_003100235.1	GenBank	Annotation submitted by UEI Virology, Instituto de Higiene e Medicina Tropical	Complete Genome	9655	9655	2004-09-10	9		
Human immunodeficiency virus 1		isolate: 04BR137	11676	ASM310025v1	GCA_003100255.1	GenBank	Annotation submitted by Molecular biology, Fundacao Pro-Sangue, Hemocentro de Sao Paulo	Complete Genome	8795	8795	2004-12-02	9		
Human immunodeficiency virus 1		isolate: 04BR142	11676	ASM310027v1	GCA_003100275.1	GenBank	Annotation submitted by Molecular biology, Fundacao Pro-Sangue, Hemocentro de Sao Paulo	Complete Genome	9057	9057	2004-12-02	9		
Human immunodeficiency virus 1		isolate: 04ZASK146B1	11676	ASM310029v1	GCA_003100295.1	GenBank	Annotation submitted by Department of Microbiology, University of Washington School of Medicine	Complete Genome	9011	9011	2004-11-01	9		
Human immunodeficiency virus 1		isolate: 02UZ0672	11676	ASM310031v1	GCA_003100315.1	GenBank	Annotation submitted by Department of Threat Assessment and Epidemiology, Division of Retrovirology, Walter Reed Army Institute of Research	Complete Genome	8816	8816	2004-12-15	9		
Human immunodeficiency virus 1		isolate: 9196/01	11676	ASM310033v1	GCA_003100335.1	GenBank	Annotation submitted by AIDS Research and Retrovirus Discovery, Abbott Laboratories	Complete Genome	9062	9062	2005-04-07	9		
Human immunodeficiency virus 1		isolate: CB118	11676	ASM310035v1	GCA_003100355.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto De Salud Carlos Iii	Complete Genome	8964	8964	2008-01-02	9		
Human immunodeficiency virus 1		isolate: CB347	11676	ASM310037v1	GCA_003100375.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto De Salud Carlos Iii	Complete Genome	8945	8945	2008-01-02	9		
Human immunodeficiency virus 1		isolate: CB378	11676	ASM310040v1	GCA_003100405.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto De Salud Carlos Iii	Complete Genome	9025	9025	2008-01-02	9		
Human immunodeficiency virus 1		isolate: CB471	11676	ASM310043v1	GCA_003100435.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto De Salud Carlos Iii	Complete Genome	8987	8987	2008-01-02	9		
Human immunodeficiency virus 1		isolate: CB619	11676	ASM310045v1	GCA_003100455.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto De Salud Carlos Iii	Complete Genome	9037	9037	2008-01-02	9		
Human immunodeficiency virus 1		isolate: CB228	11676	ASM310047v1	GCA_003100475.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto de Salud Carlos III	Complete Genome	7622	7622	2005-05-02	2		
Human immunodeficiency virus 1		isolate: CB219	11676	ASM310049v1	GCA_003100495.1	GenBank	Annotation submitted by Viral Pathogenesis, Cnm, Instituto de Salud Carlos III	Complete Genome	7581	7581	2005-05-02	2		
